제목|포스터|개봉일
미키 17|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89058/89058_320.jpg|2025.02.28
침범|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89472/89472_320.jpg|"2025.03.12 
                                
D-2"
화이트 버드|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89458/89458_320.jpg|"2025.03.12 
                                
D-2"
제로베이스원 더 퍼스트 투어 [타임리스 월드] 인 시네마|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89469/89469_320.jpg|"2025.03.12 
                                
D-2"
콘클라베|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89425/89425_320.jpg|2025.03.05
위플래쉬|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000078/78085/78085_320.jpg|"2025.03.12 
                                재
D-2"
퇴마록|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89386/89386_320.jpg|2025.02.21
에밀리아 페레즈|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89426/89426_320.jpg|"2025.03.12 
                                
D-2"
보더랜드|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89409/89409_320.jpg|2025.03.05
은혼 금혼편 온 씨어터|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89491/89491_320.jpg|"2025.03.19 
                                
D-9"
더 폴: 디렉터스 컷|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89286/89286_320.jpg|2024.12.25
아노라|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000088/88838/88838_320.jpg|2024.11.06
고독한 미식가 더 무비|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89484/89484_320.jpg|"2025.03.19 
                                
D-9"
괜찮아 괜찮아 괜찮아!|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89304/89304_320.jpg|2025.02.26
브루탈리스트|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89414/89414_320.jpg|2025.02.12
노보케인|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89464/89464_320.jpg|"2025.03.12 
                                
D-2"
컴플리트 언노운|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89440/89440_320.jpg|2025.02.26
이찬원 콘서트 찬가: 디어 마이 찬스|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89423/89423_320.jpg|2025.02.26
서브스턴스|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000088/88985/88985_320.jpg|2024.12.11
